# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.9247166444455621,0.9261335403514459,0.9583699108799635,0.5016998070896095,-30.019628958186846,0.0,-0.2742251805658668,-3.646638131248518,-15.298191227669038,8.083647410540864
 1.9405632344392592,0.9414464167143397,0.9663199697212134,0.5016889339859246,-30.26004051952789,0.0,-0.2697496965772389,-3.7071404071576572,-15.171185815791445,8.014684037897833
 1.9563041113611366,0.9567814440321214,0.9742168364500924,0.5016789577906916,-30.496880319099827,0.0,-0.265396146697172,-3.767952219521263,-15.046162977283998,7.942558672426003
 1.971940546776993,0.9721373800057865,0.9820611645345407,0.5016698419956788,-30.730225088175988,0.0,-0.26116108140544453,-3.82905444646835,-14.923143470380467,7.867490488195175
 1.987473745298204,0.9875129720624175,0.9898535730187922,0.5016615524233904,-30.960149741914773,0.0,-0.25704116339409705,-3.8904274583709144,-14.802144801330728,7.7896814931267375
 2.002904848118865,1.0029069576545133,0.9975946483542748,0.5016540570981116,-31.18672742576783,0.0,-0.253033164868389,-3.9520511096643536,-14.683181525411962,7.709317817485124
 2.018234936323575,1.0183180645492562,1.0052849461105995,0.5016473260709478,-31.41002956118828,0.0,-0.24913396444133326,-4.013904736925112,-14.566265532108273,7.626570163357874
 2.0334650339832407,1.0337450111081155,1.0129249925767065,0.501641331318609,-31.630125890507145,0.0,-0.24534054428341986,-4.075967153821873,-14.451406303306563,7.541595029025756
 2.0485961110546977,1.0491865065571078,1.020515286259488,0.5016360465904711,-31.847084521079456,0.0,-0.2416499873676455,-4.1382166450462226,-14.338611160839225,7.4545349240281755
 2.063629086098647,1.064641251248084,1.0280562992883278,0.5016314473212027,-32.060971968569525,0.0,-0.23805947460073443,-4.200630962817873,-14.227885489382967,7.365519541710719
 2.0785648288291108,1.080107936911347,1.0355484787319198,0.5016275105161393,-32.271853199454924,0.0,-0.23456628218481518,-4.263187320384343,-14.119232949512512,7.27466600297303
 2.0934041625065425,1.0955852468999292,1.042992247833919,0.5016242146586458,-32.47979167270353,0.0,-0.23116777882786577,-4.325862389085933,-14.012655673673617,7.182079610554381
 2.1081478661856976,1.111071856425827,1.0503880071730605,0.5016215396133894,-32.68484938058682,0.0,-0.22786142326618308,-4.388632290915783,-13.908154446511649,7.087854547003131
 2.122796676828466,1.1265664327884943,1.0577361357535577,0.5016194665691076,-32.88708688871107,0.0,-0.22464476159753918,-4.451472595615398,-13.805728878343352,6.992074009698661
 2.137351291291028,1.1420676355958561,1.0650369920298821,0.5016179779343443,-33.0865633751906,0.0,-0.22151542491259163,-4.514358313397781,-13.705377562052917,6.894811027015769
 2.1518123681939736,1.1575741169781393,1.072290914871257,0.5016170572951764,-33.283336669005735,0.0,-0.21847112680982203,-4.577263891125049,-13.607098222059625,6.796128715232213
 2.166180529683295,1.1730845217947503,1.0794982244693112,0.5016166893315277,-33.47746328757112,0.0,-0.21550966112814207,-4.640163205515877,-13.510887855043977,6.696080572810322
 2.180456363089605,1.188597487834487,1.086659223193235,0.5016168597735771,-33.66899847343961,0.0,-0.21262889962017642,-4.703029558946698,-13.416742856065484,6.594711236745117
 2.194640422492294,1.204111646009289,1.093774196395484,0.5016175553311565,-33.85799623026213,0.0,-0.20982678975509977,-4.765835674115561,-13.324659144242393,6.492056273088764
 2.2087332301948854,1.2196256205417833,1.1008434131717832,0.5016187636619444,-34.044509357956784,0.0,-0.2071013527341084,-4.828553685421224,-13.234632277027542,6.388142740236111
 2.222735278117334,1.235138029146836,1.107867127078063,0.5016204733179708,-34.22858948708297,0.0,-0.20445068121034737,-4.891155138637853,-13.146657556503422,6.2829895320578055
 2.2366470291106126,1.2506474832073324,1.114845576806975,0.5016226736867068,-34.41028711247173,0.0,-0.20187293758732366,-4.953610979022052,-13.060730132141325,6.176607416536997
 2.2504689181985045,1.2661525879443867,1.121778986827273,0.5016253549865174,-34.589651626124606,0.0,-0.19936635190371108,-5.015891550661341,-12.976845097824436,6.06899923617344
 2.2642013537511905,1.2816519425821806,1.12866756798741,0.5016285081920343,-34.7667313493764,0.0,-0.19692922015327968,-5.077966587292891,-12.89499758235923,5.960160173422196
 2.277844718594859,1.2971441405076232,1.1355115180865243,0.501632125031839,-34.9415735643678,0.0,-0.19455990250478206,-5.139805207167089,-12.815182837578206,5.850077726101578
 2.2913993710612877,1.3126277694250164,1.1423110224140585,0.5016361979309211,-35.114224544807456,0.0,-0.19225682158542096,-5.201375908296151,-12.737396319622862,5.738732007183591
 2.3048656459810446,1.3281014115059044,1.149066254260564,0.5016407200030301,-35.28472958607576,0.0,-0.19001846089182511,-5.262646562374201,-12.661633769124531,5.626095631478256
 2.318244208487952,1.343563643534269,1.155746891370516,0.4993538809945077,-35.45313303470736,0.0,-0.18784336337920354,-5.323584405701244,-12.587559279604898,5.536804830966617
 2.331611985001227,1.3590130370472489,1.1557190156222301,-0.0020852943089081856,-35.61947831718547,0.0,-0.1857301299198452,-5.384156035596195,-12.443751009221106,10.757830237585397
 2.345045291894192,1.374448158471523,1.1490187447706617,-0.49878044959109885,-35.78380796819782,0.0,-0.1836774178421957,-5.44432740697138,-12.233000579954572,15.6886484426929
 2.358544025456367,1.3898675692555291,1.1422857346568727,-0.4987882813433542,-35.946163658238916,0.0,-0.18168393989070525,-5.504063818747905,-12.027475710465113,15.225492713284174
